Row #,Prop Firm,Account Size,Date Purchased,Fee,Date Started,Date Ended,Status P1,Account #,Hedge Result 1,Hedge Result 2,Hedge Result 3,Hedge Result 4,Hedge Result 5,Hedge Net,Account #.1,Activation Fee,Date Started.1,Date Ended.1,Status,Hedge Result 1.1,Hedge Result 2.1,Hedge Result 3.1,Hedge Result 4.1,Hedge Result 5.1,Hedge Result 6,Hedge Result 7,Hedge Net.1,Payout 1,Date 1,Payout 2,Date 2,Payout 3,Date 3,Payout 4,Date 4,Prop Day 1,Prop Day 2,Prop Day 3,Prop Day 4,Prop Day 5,Prop Day 6,Prop Day 7,Prop Day 8,Prop Day 9,Prop Day 10,Prop Day 11,Prop Day 12,Prop Day 13,Prop Day 14,Prop Day 15,Prop Day 16,Prop Day 17,Prop Day 18,Prop Day 19,Prop Day 20,Prop Day 21,Prop Day 22,Prop Day 23,Prop Day 24,Prop Day 25,Prop Day 26,Prop Day 27,Prop Day 28,Prop Day 29,Prop Day 30,Prop Day 31,Prop Day 32,Prop Day 33,Prop Day 34,Prop Progress 1,Prop Progress 2,Prop Progress 3,Prop Progress 4,Prop Progress 5,Prop Progress 6,Prop Progress 7,Prop Progress 8,Prop Progress 9,Prop Progress 10,Prop Progress 11,Prop Progress 12,Prop Progress 13,Prop Progress 14,Prop Progress 15,Prop Progress 16,Prop Progress 17,Prop Progress 18,Prop Progress 19,Prop Progress 20,Prop Progress 21,Prop Progress 22,Prop Progress 23,Prop Progress 24,Prop Progress 25,Prop Progress 26,Prop Progress 27,Prop Progress 28,Prop Progress 29,Prop Progress 30,Prop Progress 31,Prop Progress 32,Prop Progress 33,Prop Progress 34,Hedge Day 1,Hedge Day 2,Hedge Day 3,Hedge Day 4,Hedge Day 5,Hedge Day 6,Hedge Day 7,Hedge Day 8,Hedge Day 9,Hedge Day 10,Hedge Day 11,Hedge Day 12,Hedge Day 13,Hedge Day 14,Hedge Day 15,Hedge Day 16,Hedge Day 17,Hedge Day 18,Hedge Day 19,Hedge Day 20,Hedge Day 21,Hedge Day 22,Hedge Day 23,Hedge Day 24,Hedge Day 25,Hedge Day 26,Hedge Day 27,Hedge Day 28,Hedge Day 29,Hedge Day 30,Hedge Day 31,Hedge Day 32,Hedge Day 33,Hedge Day 34
0,My Funded Futures,,,,,,,,,,,,,,MFFU-09008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,My Funded Futures,,,,,,,,,,,,,,MFFU-09009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,My Funded Futures,,,,,,,,,,,,,,MFFU-32008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,My Funded Futures,,,,,,,,,,,,,,MFFU-32009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
