Eval Index,Column,Log Value,DB Value (was empty),Log Timestamp
2,Hedge Day 1,$0.00,None,2026-03-31 03:59:33
2,Hedge Day 3,$0.00,None,2026-04-02 05:37:57
3,Hedge Day 1,$0.00,None,2026-03-31 03:59:33
3,Hedge Day 3,$0.00,None,2026-04-02 05:37:57
24,Hedge Day 12,$-154.80,None,2026-03-31 03:58:20
24,Hedge Day 13,$-157.32,None,2026-03-31 08:00:46
33,Hedge Result 1.1,$0.00,None,2026-03-31 04:49:32
33,Hedge Result 2,$0.00,None,2026-03-27 05:36:10
33,Hedge Result 3,$-232.32,None,2026-03-31 03:59:33
34,Hedge Result 2,$0.00,None,2026-03-27 05:36:10
38,Hedge Day 1,$467.20,None,2026-03-30 11:33:24
42,Hedge Day 1,$-158.04,None,2026-03-30 11:33:24
43,Hedge Day 1,$-157.82,None,2026-03-30 11:33:24
44,Hedge Day 1,$-157.68,None,2026-03-30 11:33:24
45,Hedge Result 2,$0.00,None,2026-03-26 06:18:58
46,Hedge Result 2,$0.00,None,2026-03-26 06:18:58
47,Hedge Result 1.1,$0.00,None,2026-03-26 06:56:02
47,Hedge Result 2,$0.00,None,2026-03-26 06:18:58
47,Hedge Result 3,$-1.76,None,2026-03-27 06:53:37
48,Hedge Result 2,$0.00,None,2026-03-26 06:18:58
48,Hedge Result 3,$0.00,None,2026-03-27 06:53:37
49,Hedge Result 3,$0.00,None,2026-03-27 06:53:37
50,Hedge Result 3,$0.00,None,2026-03-27 06:53:37
54,Hedge Result 1.1,$0.00,None,2026-03-30 11:33:24
55,Hedge Day 9,$-155.88,None,2026-03-30 13:11:30
55,Hedge Result 2.1,$0.00,None,2026-03-30 13:11:30
56,Hedge Day 8,$-155.52,None,2026-03-30 13:11:30
56,Hedge Result 1.1,$0.00,None,2026-03-26 06:56:02
57,Hedge Day 1,$-150.26,None,2026-03-30 11:33:24
57,Hedge Result 1.1,$0.00,None,2026-03-26 06:56:02
58,Hedge Day 1,$522.22,None,2026-03-30 11:33:24
58,Hedge Result 2,$0.00,None,2026-03-26 06:18:58
60,Hedge Day 1,$525.60,None,2026-03-30 11:33:24
60,Hedge Result 1.1,$630.66,None,2026-03-27 07:07:33
61,Hedge Day 1,$525.24,None,2026-03-30 11:33:24
61,Hedge Result 1.1,$626.52,None,2026-03-27 07:07:33
64,Hedge Result 3,$403.57,None,2026-03-27 07:07:33
65,Hedge Day 1,$0.00,None,2026-04-02 05:40:44
65,Hedge Result 3,$403.92,None,2026-03-27 07:07:33
66,Hedge Result 2,$0.00,None,2026-03-26 06:02:54
66,Hedge Result 2.1,$646.00,None,2026-04-01 07:59:40
67,Hedge Result 2,$-169.90,None,2026-03-26 06:56:02
67,Hedge Result 2.1,$646.00,None,2026-04-01 07:59:40
67,Hedge Result 3,$401.72,None,2026-03-27 07:07:33
68,Hedge Result 2,$-174.16,None,2026-03-26 06:56:02
68,Hedge Result 3,$403.92,None,2026-03-27 07:07:33
69,Hedge Result 2,$-366.24,None,2026-03-26 06:56:02
70,Hedge Result 1.1,$0.00,None,2026-03-27 07:07:33
70,Hedge Result 2,$-358.68,None,2026-03-26 06:56:02
71,Hedge Result 1.1,$0.00,None,2026-03-27 07:07:33
71,Hedge Result 2,$-358.68,None,2026-03-26 06:56:02
73,Hedge Day 1,$0.00,None,2026-04-02 05:40:44
74,Hedge Day 1,$0.00,None,2026-04-02 05:40:44
74,Hedge Day 15,$-200.16,None,2026-03-27 08:27:44
74,Hedge Result 1.1,$0.00,None,2026-04-02 05:40:44
75,Hedge Day 1,$0.00,None,2026-04-02 05:40:44
75,Hedge Day 16,$-198.72,None,2026-03-27 08:27:44
75,Hedge Result 1.1,$0.00,None,2026-04-02 05:40:44
76,Hedge Result 1.1,$0.00,None,2026-04-02 05:40:44
77,Hedge Day 17,$-176.80,None,2026-03-27 08:27:44
77,Hedge Result 1.1,$0.00,None,2026-04-02 05:40:44
77,Hedge Result 2,$17.70,None,2026-03-30 04:52:30
79,Hedge Result 1.1,$0.00,None,2026-04-02 05:40:44
80,Hedge Result 1.1,$0.00,None,2026-04-02 05:40:44
81,Hedge Result 1.1,$0.00,None,2026-04-02 05:40:44
87,Hedge Day 1,$0.00,None,2026-04-02 05:40:44
87,Hedge Result 2.1,$0.00,None,2026-03-30 13:11:30
87,Hedge Result 3.1,$473.90,None,2026-04-02 05:36:56
88,Hedge Day 1,$0.00,None,2026-04-02 05:40:44
90,Hedge Day 31,$467.20,None,2026-04-02 05:36:56
90,Hedge Day 5,$0.00,None,2026-03-30 13:11:30
91,Hedge Day 5,$0.00,None,2026-03-30 13:11:30
92,Hedge Day 13,$-174.72,None,2026-03-31 03:58:20
92,Hedge Day 5,$0.00,None,2026-03-30 13:11:30
93,Hedge Day 5,$0.00,None,2026-03-30 13:11:30
94,Hedge Day 5,$0.00,None,2026-03-30 13:11:30
95,Hedge Day 5,$0.00,None,2026-03-30 13:11:30
96,Hedge Day 5,$0.00,None,2026-03-30 13:11:30
104,Hedge Day 15,$0.00,None,2026-03-27 08:27:44
105,Hedge Result 1.1,$632.04,None,2026-04-01 07:59:40
