Eval Index,Column,Log Value,DB Value (was empty),Log Timestamp
1,Hedge Result 3,$-229.68,,2026-03-25 08:04:47
2,Hedge Result 3,$-246.40,,2026-03-25 08:04:47
5,Hedge Day 13,$0.00,,2026-04-02 07:06:41
5,Hedge Day 6,$0.00,,2026-04-01 05:25:39
13,Hedge Result 3,$-298.67,,2026-03-25 08:04:47
14,Hedge Day 6,$-177.28,,2026-03-30 12:01:51
21,Hedge Result 1.1,$-2335.20,,2026-03-30 12:02:01
21,Hedge Result 3,$0.00,,2026-03-26 05:07:00
22,Hedge Result 3,$0.00,,2026-03-26 05:07:00
23,Hedge Day 1,$0.00,,2026-03-31 08:53:45
24,Hedge Day 10,$-152.93,,2026-03-26 14:38:28
24,Hedge Day 12,$0.00,,2026-03-30 08:13:46
24,Hedge Result 4.1,$0.00,,2026-03-31 05:29:36
27,Hedge Day 5,$-135.68,,2026-03-30 12:01:51
27,Hedge Day 6,$0.00,,2026-03-31 08:53:45
29,Hedge Result 3,$0.00,,2026-03-26 05:07:00
31,Hedge Result 2,$257.60,,2026-03-27 06:48:03
33,Hedge Day 6,$-157.14,,2026-03-30 12:01:51
34,Hedge Day 6,$-154.62,,2026-03-30 12:01:51
35,Hedge Day 6,$-155.52,,2026-03-30 12:01:51
35,Hedge Day 7,$0.00,,2026-03-31 08:53:45
42,Hedge Day 6,$-138.37,,2026-04-01 05:25:39
42,Hedge Result 1.1,$715.20,,2026-04-01 01:07:51
43,Hedge Result 1.1,$732.32,,2026-04-01 01:07:51
45,Hedge Day 6,$-137.76,,2026-04-01 05:25:39
55,Hedge Result 1.1,$-2215.20,,2026-03-30 12:02:01
57,Hedge Day 1,$0.00,,2026-03-31 08:53:45
60,Hedge Day 1,$0.00,,2026-04-02 07:06:41
60,Hedge Result 1.1,$0.00,,2026-03-27 06:48:29
61,Hedge Result 1.1,$0.00,,2026-03-27 06:48:29
63,Hedge Result 3,$0.00,,2026-03-31 05:26:21
64,Hedge Result 2.1,$644.30,,2026-04-01 02:36:24
64,Hedge Result 3,$0.00,,2026-03-27 06:48:29
65,Hedge Day 1,$0.00,,2026-04-02 07:06:41
65,Hedge Result 2.1,$637.50,,2026-04-01 02:36:24
68,Hedge Day 7,$0.00,,2026-03-26 05:08:05
68,Hedge Result 3,$0.00,,2026-03-27 06:48:29
69,Hedge Result 1.1,$0.00,,2026-03-26 05:08:05
70,Hedge Result 1.1,$0.00,,2026-03-27 06:48:29
73,Hedge Day 1,$0.00,,2026-04-02 07:06:41
74,Hedge Day 1,$0.00,,2026-04-02 07:06:41
74,Hedge Day 16,$0.00,,2026-03-31 05:49:40
77,Hedge Day 19,$-140.93,,2026-03-31 05:49:40
85,Hedge Day 1,$-155.16,,2026-04-02 07:06:41
86,Hedge Day 1,$-156.96,,2026-04-02 07:06:41
87,Hedge Day 1,$0.00,,2026-04-02 07:06:41
88,Hedge Day 1,$-159.95,,2026-04-02 07:06:41
89,Hedge Day 26,$-178.37,,2026-03-30 08:05:20
89,Hedge Day 7,$0.00,,2026-04-02 07:06:41
90,Hedge Day 28,$-177.28,,2026-03-30 08:05:20
90,Hedge Day 6,$-149.12,,2026-04-01 05:25:39
90,Hedge Day 7,$0.00,,2026-04-02 07:06:41
91,Hedge Day 6,$-138.24,,2026-04-01 05:25:39
91,Hedge Day 7,$0.00,,2026-04-02 07:06:41
92,Hedge Day 11,$-139.20,,2026-03-26 14:38:28
92,Hedge Day 13,$0.00,,2026-03-30 08:13:46
92,Hedge Day 7,$0.00,,2026-04-02 07:06:41
93,Hedge Day 7,$0.00,,2026-04-02 07:06:41
94,Hedge Day 17,$-157.68,,2026-03-27 09:26:48
104,Hedge Day 17,$-158.40,,2026-03-31 05:49:40
105,Hedge Result 1.1,$632.04,,2026-04-01 02:36:24
117,Hedge Result 2,$256.31,,2026-03-26 09:27:30
118,Hedge Day 15,$-155.23,,2026-03-27 09:26:48
119,Hedge Day 15,$-160.85,,2026-03-27 09:26:48
124,Hedge Result 3,$473.20,,2026-04-01 05:25:39
126,Hedge Day 7,$-139.30,,2026-03-30 08:05:20
127,Hedge Result 2.1,$-1653.20,,2026-03-26 14:38:28
129,Hedge Day 8,$-138.24,,2026-03-30 08:14:37
129,Hedge Result 3,$0.00,,2026-04-02 07:36:46
130,Hedge Day 7,$-143.04,,2026-03-26 14:38:28
130,Hedge Day 9,$-212.16,,2026-03-30 08:14:37
130,Hedge Result 3,$0.00,,2026-04-02 07:36:46
134,Hedge Day 19,$0.00,,2026-03-27 06:48:03
142,Hedge Day 17,$-155.52,,2026-03-30 11:20:39
142,Hedge Day 20,$0.00,,2026-04-02 07:17:01
146,Hedge Day 19,$0.00,,2026-03-27 06:48:03
146,Hedge Day 3,$-157.68,,2026-03-27 06:49:33
146,Hedge Day 4,$0.00,,2026-03-30 08:13:46
147,Hedge Result 2,$-153.50,,2026-03-31 05:29:36
148,Hedge Day 14,$-148.32,,2026-03-26 14:03:07
148,Hedge Day 17,$-155.09,,2026-03-30 11:20:39
148,Hedge Day 19,$0.00,,2026-04-02 07:17:01
148,Hedge Result 2,$258.16,,2026-03-31 05:29:36
149,Hedge Result 1.1,$0.00,,2026-04-02 05:42:45
150,Hedge Result 1.1,$0.00,,2026-04-02 05:42:45
151,Hedge Day 13,$0.00,,2026-03-31 05:24:01
151,Hedge Day 3,$-138.88,,2026-03-27 06:49:33
151,Hedge Day 4,$0.00,,2026-03-30 08:13:46
154,Hedge Day 1,$-139.20,,2026-03-27 06:49:33
154,Hedge Day 2,$0.00,,2026-03-30 08:13:46
155,Hedge Day 1,$-140.16,,2026-03-27 06:49:33
155,Hedge Day 2,$0.00,,2026-03-30 08:13:46
156,Hedge Result 2.1,$0.00,,2026-04-02 06:26:57
163,Hedge Day 14,$-174.88,,2026-03-27 04:55:51
163,Hedge Day 16,$-176.48,,2026-04-01 01:43:22
164,Hedge Day 14,$0.00,,2026-03-27 04:55:51
164,Hedge Day 16,$-182.08,,2026-04-01 01:43:22
165,Hedge Day 14,$-175.68,,2026-03-27 04:55:51
165,Hedge Day 16,$-189.28,,2026-04-01 01:43:22
166,Hedge Day 14,$-182.88,,2026-03-27 04:55:51
166,Hedge Day 16,$-180.48,,2026-04-01 01:43:22
167,Hedge Day 14,$0.00,,2026-03-27 04:55:51
167,Hedge Day 16,$-177.44,,2026-04-01 01:43:22
167,Hedge Day 6,$-197.32,,2026-03-27 09:26:48
167,Hedge Day 8,$-200.88,,2026-04-01 00:32:22
168,Hedge Day 6,$-199.33,,2026-03-27 09:26:48
168,Hedge Day 8,$-203.40,,2026-04-01 00:32:22
169,Hedge Day 5,$-199.94,,2026-03-27 09:26:48
169,Hedge Day 7,$-203.40,,2026-04-01 00:32:22
172,Hedge Day 13,$-138.72,,2026-03-30 08:39:22
172,Hedge Day 16,$0.00,,2026-03-27 04:55:51
172,Hedge Day 18,$-138.88,,2026-04-01 01:43:22
172,Hedge Result 2,$-157.92,,2026-03-27 06:49:33
172,Hedge Result 3,$0.00,,2026-03-30 08:13:46
173,Hedge Day 18,$-142.88,,2026-04-01 01:43:22
173,Hedge Result 2,$-146.94,,2026-03-27 06:49:33
173,Hedge Result 3,$403.13,,2026-03-30 08:13:46
174,Hedge Day 16,$0.00,,2026-03-27 04:55:51
174,Hedge Day 18,$-152.48,,2026-04-01 01:43:22
183,Hedge Result 3,$-421.87,,2026-03-26 14:38:28
184,Hedge Result 3,$-270.16,,2026-03-26 14:38:28
187,Hedge Day 13,$-138.56,,2026-04-02 07:07:45
188,Hedge Day 19,$0.00,,2026-03-25 08:04:47
188,Hedge Day 21,$0.00,,2026-03-27 07:06:30
189,Hedge Day 15,$0.00,,2026-03-27 09:26:48
189,Hedge Day 16,$-143.81,,2026-03-30 08:39:22
189,Hedge Day 19,$0.00,,2026-03-25 08:04:47
