Eval Index,Column,Log Value,DB Value (was empty),Log Timestamp
3,Hedge Result 3.1,$0.00,None,2026-04-01 05:13:15
7,Hedge Day 6,$465.22,None,2026-04-01 09:21:01
10,Hedge Day 2,$-188.16,None,2026-04-01 09:19:02
17,Hedge Day 8,$467.20,None,2026-04-01 09:21:01
20,Hedge Result 4.1,$233.92,None,2026-03-31 19:34:13
21,Hedge Result 4.1,$227.12,None,2026-03-31 19:34:13
22,Hedge Result 4.1,$235.28,None,2026-03-31 19:34:13
23,Hedge Result 4.1,$213.52,None,2026-03-31 19:34:13
24,Hedge Result 4.1,$243.44,None,2026-03-31 19:34:13
31,Hedge Day 4,$-158.76,None,2026-04-01 09:21:01
32,Hedge Day 4,$-154.44,None,2026-04-01 09:21:01
33,Hedge Day 2,$-163.08,None,2026-04-01 09:19:02
33,Hedge Day 7,$-163.26,None,2026-03-31 10:36:09
33,Hedge Result 1.1,$641.70,None,2026-04-01 05:13:53
34,Hedge Day 7,$0.00,None,2026-03-31 10:36:09
35,Hedge Day 7,$0.00,None,2026-03-31 10:36:09
38,Hedge Day 2,$0.00,None,2026-04-01 05:09:55
42,Hedge Day 3,$-154.87,None,2026-04-01 05:09:55
43,Hedge Day 3,$0.00,None,2026-04-01 05:09:55
44,Hedge Day 3,$0.00,None,2026-04-01 05:09:55
48,Hedge Result 2,$0.00,None,2026-03-31 10:36:09
49,Hedge Result 2,$257.60,None,2026-04-01 05:13:53
50,Hedge Result 2,$257.60,None,2026-04-01 05:13:53
51,Hedge Result 2,$257.54,None,2026-04-01 05:13:53
52,Hedge Result 2,$255.92,None,2026-04-01 05:13:53
57,Hedge Day 1,$0.00,None,2026-03-31 10:36:09
57,Hedge Day 3,$-156.60,None,2026-04-01 05:09:55
58,Hedge Day 1,$0.00,None,2026-03-31 10:36:09
58,Hedge Day 3,$-155.99,None,2026-04-01 05:09:55
58,Hedge Result 1.1,$-1935.17,None,2026-04-01 09:02:44
58,Hedge Result 2,$285.14,None,2026-04-01 05:13:53
58,Hedge Result 3,$0.00,None,2026-03-31 05:18:13
59,Hedge Result 2,$285.20,None,2026-04-01 05:13:53
60,Hedge Day 3,$0.00,None,2026-04-01 05:09:55
60,Hedge Result 2,$285.20,None,2026-04-01 05:13:53
61,Hedge Day 3,$-154.44,None,2026-04-01 05:09:55
62,Hedge Day 2,$0.00,None,2026-04-01 05:09:55
63,Hedge Result 1.1,$-2468.18,None,2026-04-01 09:02:44
69,Hedge Result 2,$0.00,None,2026-03-31 05:18:13
70,Hedge Result 2,$0.00,None,2026-03-31 05:18:13
71,Hedge Result 1.1,$-2244.80,None,2026-04-01 09:02:44
72,Hedge Result 1.1,$-2228.32,None,2026-04-01 09:02:44
73,Hedge Result 1.1,$-2226.24,None,2026-04-01 09:02:44
74,Hedge Day 16,$0.00,None,2026-03-31 05:33:56
74,Hedge Result 3,$-235.05,None,2026-04-01 09:02:44
75,Hedge Day 17,$0.00,None,2026-03-31 05:33:56
75,Hedge Result 3,$-232.76,None,2026-04-01 09:02:44
76,Hedge Result 3,$-232.06,None,2026-04-01 09:02:44
77,Hedge Day 19,$0.00,None,2026-03-31 05:33:56
77,Hedge Result 3,$-231.26,None,2026-04-01 09:02:44
78,Hedge Result 3,$-323.54,None,2026-04-01 09:02:44
80,Hedge Result 3,$-312.83,None,2026-04-01 09:02:44
81,Hedge Day 10,$-136.96,None,2026-03-31 19:37:45
81,Hedge Result 2,$0.00,None,2026-03-31 05:18:13
81,Hedge Result 3,$-314.08,None,2026-04-01 09:02:44
82,Hedge Day 10,$-138.24,None,2026-03-31 19:37:45
83,Hedge Result 1.1,$-2231.68,None,2026-04-01 09:02:44
84,Hedge Result 1.1,$-2226.24,None,2026-04-01 09:02:44
87,Hedge Result 2,$257.60,None,2026-04-02 08:55:43
89,Hedge Result 2,$254.24,None,2026-04-02 08:55:43
90,Hedge Result 2,$257.60,None,2026-04-02 08:55:43
91,Hedge Result 2,$-147.84,None,2026-03-31 05:50:14
92,Hedge Result 2,$-147.28,None,2026-03-31 05:50:14
93,Hedge Result 2,$-148.40,None,2026-03-31 05:50:14
94,Hedge Result 2,$-153.55,None,2026-03-31 05:50:14
99,Hedge Day 21,$0.00,None,2026-03-31 05:26:47
104,Hedge Day 17,$0.00,None,2026-03-31 05:33:56
