Eval Index,Column,Log Value,DB Value (was empty),Log Timestamp
5,Hedge Day 1,$-138.24,None,2026-03-25 08:06:39
22,Hedge Result 2,$0.00,None,2026-03-30 03:17:54
38,Hedge Result 2,$0.00,None,2026-03-30 03:17:54
39,Hedge Result 2,$0.00,None,2026-03-30 03:17:54
40,Hedge Result 2,$0.00,None,2026-03-30 03:17:54
41,Hedge Result 2,$0.00,None,2026-03-30 03:17:54
42,Hedge Day 1,$-141.12,None,2026-03-25 08:06:39
42,Hedge Result 2,$-360.36,None,2026-03-30 03:17:54
44,Hedge Result 2,$-353.05,None,2026-03-30 03:17:54
45,Hedge Day 1,$-138.98,None,2026-03-25 08:06:39
45,Hedge Result 2,$-350.28,None,2026-03-30 03:17:54
46,Hedge Result 2,$-352.80,None,2026-03-30 03:17:54
63,Hedge Result 2,$0.00,None,2026-03-30 04:06:29
66,Hedge Result 2.1,$0.00,None,2026-03-27 03:02:39
71,Hedge Day 1,$0.00,None,2026-03-27 03:02:39
71,Hedge Day 2,$0.00,None,2026-03-30 02:51:12
71,Hedge Day 3,$0.00,None,2026-03-31 01:35:26
71,Hedge Result 1.1,$642.60,None,2026-03-25 08:06:39
72,Hedge Result 1,$0.00,None,2026-03-30 04:06:29
72,Hedge Result 1.1,$643.86,None,2026-03-25 08:06:39
73,Hedge Result 1.1,$639.80,None,2026-03-25 08:06:39
79,Hedge Day 1,$0.00,None,2026-04-02 04:34:59
80,Hedge Day 1,$0.00,None,2026-04-02 04:34:59
90,Hedge Day 1,$-137.79,None,2026-03-25 08:06:39
91,Hedge Day 1,$-138.56,None,2026-03-25 08:06:39
94,Hedge Day 17,$-157.68,None,2026-03-27 08:18:56
94,Hedge Result 1.1,$740.80,None,2026-03-25 08:06:39
95,Hedge Result 1.1,$0.00,None,2026-03-25 08:06:39
96,Hedge Result 1.1,$737.60,None,2026-03-25 08:06:39
104,Hedge Day 18,$0.00,None,2026-04-01 02:20:01
115,Hedge Day 10,$0.00,None,2026-03-31 01:33:57
118,Hedge Day 15,$-155.23,None,2026-03-27 08:18:56
119,Hedge Day 15,$-160.85,None,2026-03-27 08:18:56
133,Hedge Day 24,$0.00,None,2026-04-02 04:35:38
135,Hedge Day 24,$0.00,None,2026-04-02 04:35:38
136,Hedge Day 24,$0.00,None,2026-04-02 04:35:38
142,Hedge Day 16,$0.00,None,2026-03-27 13:37:00
142,Hedge Day 20,$0.00,None,2026-04-02 05:46:39
148,Hedge Day 16,$0.00,None,2026-03-27 13:37:00
148,Hedge Day 19,$0.00,None,2026-04-02 05:46:39
167,Hedge Day 6,$-197.32,None,2026-03-27 08:18:56
168,Hedge Day 6,$-199.33,None,2026-03-27 08:18:56
169,Hedge Day 5,$-199.94,None,2026-03-27 08:18:56
171,Hedge Result 3.1,$0.00,None,2026-03-27 04:56:10
172,Hedge Day 13,$0.00,None,2026-03-30 04:07:05
172,Hedge Result 1.1,$0.00,None,2026-03-31 03:49:08
178,Hedge Result 1.1,$0.00,None,2026-03-31 03:49:08
179,Hedge Result 3,$-254.32,None,2026-03-31 03:49:08
180,Hedge Result 3,$404.80,None,2026-03-31 03:49:08
181,Hedge Result 3,$-240.24,None,2026-03-31 03:49:08
182,Hedge Result 3,$-237.60,None,2026-03-31 03:49:08
183,Hedge Result 3,$-345.28,None,2026-03-31 03:49:08
184,Hedge Result 3,$-313.87,None,2026-03-31 03:49:08
185,Hedge Result 3,$-314.08,None,2026-03-31 03:49:08
186,Hedge Result 3,$-329.06,None,2026-03-31 03:49:08
187,Hedge Result 1.1,$0.00,None,2026-03-31 03:49:08
188,Hedge Result 1.1,$0.00,None,2026-03-31 03:49:08
189,Hedge Day 16,$0.00,None,2026-03-30 04:07:05
189,Hedge Result 1.1,$0.00,None,2026-03-31 03:49:08
190,Hedge Result 2,$386.40,None,2026-03-31 03:49:08
191,Hedge Result 1.1,$0.00,None,2026-03-30 02:51:56
191,Hedge Result 2,$-368.76,None,2026-03-27 04:56:10
195,Hedge Result 3.1,$342.00,None,2026-04-01 02:19:01
202,Hedge Day 11,$0.00,None,2026-03-30 04:07:05
203,Hedge Day 7,$-157.79,None,2026-03-27 13:37:00
204,Hedge Day 10,$0.00,None,2026-03-30 04:07:05
204,Hedge Day 7,$-152.82,None,2026-03-27 13:37:00
205,Hedge Day 9,$0.00,None,2026-04-01 02:20:01
207,Hedge Day 9,$0.00,None,2026-04-01 02:20:01
208,Hedge Day 9,$0.00,None,2026-04-01 02:20:01
243,Hedge Result 2,$244.55,None,2026-03-27 13:37:00
244,Hedge Result 2,$266.95,None,2026-03-27 13:37:00
245,Hedge Result 2,$0.00,None,2026-03-27 13:37:00
246,Hedge Result 2,$384.72,None,2026-03-31 01:33:57
249,Hedge Result 3,$0.00,None,2026-03-26 05:26:10
250,Hedge Result 3,$0.00,None,2026-03-26 05:26:10
251,Hedge Result 3,$-242.00,None,2026-03-26 05:26:10
269,Hedge Result 2.1,$0.00,None,2026-03-30 09:35:36
270,Hedge Result 2.1,$0.00,None,2026-03-30 09:35:36
271,Hedge Day 4,$-139.84,None,2026-03-27 08:18:56
271,Hedge Result 2.1,$0.00,None,2026-03-30 09:35:36
272,Hedge Day 4,$-139.84,None,2026-03-27 08:18:56
273,Hedge Day 4,$-137.63,None,2026-03-27 08:18:56
276,Hedge Day 19,$0.00,None,2026-03-27 03:03:12
283,Hedge Day 15,$-198.86,None,2026-04-01 06:22:28
285,Hedge Day 13,$-198.00,None,2026-04-01 06:22:28
293,Hedge Result 1.1,$0.00,None,2026-03-30 04:07:05
294,Hedge Result 1.1,$0.00,None,2026-03-30 04:07:05
296,Hedge Result 1.1,$0.00,None,2026-03-27 08:18:56
301,Hedge Result 1,$0.00,None,2026-03-30 09:35:36
324,Hedge Day 6,$-154.80,None,2026-04-01 06:22:28
325,Hedge Day 8,$-158.76,None,2026-04-01 06:22:28
326,Hedge Day 6,$-161.64,None,2026-04-01 06:22:28
338,Hedge Result 2.1,$0.00,None,2026-03-31 03:49:55
340,Hedge Day 4,$-160.56,None,2026-04-01 06:22:28
353,Hedge Result 1.1,$628.04,None,2026-03-31 03:49:55
354,Hedge Result 1.1,$634.80,None,2026-03-31 03:49:55
355,Hedge Result 1.1,$616.86,None,2026-03-31 03:49:55
356,Hedge Result 1.1,$629.28,None,2026-03-31 03:49:55
357,Hedge Result 1.1,$634.80,None,2026-03-31 03:49:55
385,Hedge Result 3.1,$203.70,None,2026-03-30 02:50:10
390,Hedge Day 6,$0.00,None,2026-04-02 05:46:39
391,Hedge Day 6,$0.00,None,2026-04-02 05:46:39
392,Hedge Day 6,$0.00,None,2026-04-02 05:46:39
394,Hedge Day 1,$-198.50,None,2026-03-26 05:26:10
398,Hedge Day 7,$0.00,None,2026-03-31 01:35:59
423,Hedge Day 2,$-155.52,None,2026-03-31 01:35:59
