Eval Index,Column,Log Value,DB Value (was empty),Log Timestamp
0,Hedge Result 1.1,$0.00,None,2026-03-30 05:40:58
1,Hedge Result 1.1,$0.00,None,2026-03-30 05:40:58
2,Hedge Day 2,$0.00,None,2026-04-01 04:22:58
2,Hedge Day 3,$0.00,None,2026-04-02 04:33:12
3,Hedge Day 2,$0.00,None,2026-04-01 04:22:58
3,Hedge Day 3,$0.00,None,2026-04-02 04:33:12
7,Hedge Day 6,$0.00,None,2026-04-01 06:45:48
12,Hedge Result 2.1,$0.00,None,2026-04-01 04:23:33
17,Hedge Day 8,$0.00,None,2026-04-01 06:45:48
23,Hedge Day 2,$0.00,None,2026-04-01 04:23:33
27,Hedge Day 4,$-156.96,None,2026-04-01 06:45:48
27,Hedge Day 7,$0.00,None,2026-04-01 04:23:33
28,Hedge Day 4,$-155.63,None,2026-04-01 06:45:48
29,Hedge Day 4,$-156.96,None,2026-04-01 06:45:48
31,Hedge Day 4,$-158.76,None,2026-04-01 06:45:48
32,Hedge Day 4,$-154.44,None,2026-04-01 06:45:48
33,Hedge Result 1.1,$641.70,None,2026-04-01 04:22:58
33,Hedge Result 3,$0.00,None,2026-03-30 05:40:58
36,Hedge Result 3,$0.00,None,2026-03-31 04:48:50
45,Hedge Result 1.1,$0.00,None,2026-03-31 04:48:50
46,Hedge Result 1.1,$0.00,None,2026-03-31 04:48:50
47,Hedge Result 1.1,$0.00,None,2026-03-31 04:48:50
48,Hedge Result 1.1,$0.00,None,2026-03-31 04:48:50
49,Hedge Result 1.1,$0.00,None,2026-03-31 04:48:50
49,Hedge Result 2,$257.60,None,2026-04-01 04:22:58
50,Hedge Result 1.1,$0.00,None,2026-03-31 04:48:50
51,Hedge Result 1.1,$0.00,None,2026-03-31 04:48:50
51,Hedge Result 2,$257.54,None,2026-04-01 04:22:58
52,Hedge Result 2,$255.92,None,2026-04-01 04:22:58
58,Hedge Result 2,$285.14,None,2026-04-01 04:22:58
59,Hedge Result 2,$285.20,None,2026-04-01 04:22:58
60,Hedge Result 2,$285.20,None,2026-04-01 04:22:58
62,Hedge Result 2,$0.00,None,2026-04-02 04:40:26
63,Hedge Result 2,$577.20,None,2026-04-01 04:22:58
64,Hedge Result 2,$577.20,None,2026-04-01 04:22:58
64,Hedge Result 2.1,$644.30,None,2026-04-01 04:51:20
65,Hedge Result 2,$577.20,None,2026-04-01 04:22:58
65,Hedge Result 2.1,$637.50,None,2026-04-01 04:51:20
66,Hedge Result 2.1,$646.00,None,2026-04-01 04:51:20
67,Hedge Result 2.1,$646.00,None,2026-04-01 04:51:20
69,Hedge Day 2,$0.00,None,2026-04-01 04:23:33
70,Hedge Day 2,$0.00,None,2026-04-01 04:23:33
71,Hedge Result 2,$0.00,None,2026-04-02 04:33:12
72,Hedge Result 2,$0.00,None,2026-03-31 04:41:58
73,Hedge Result 2,$0.00,None,2026-03-31 04:41:58
74,Hedge Result 2,$0.00,None,2026-03-31 04:41:58
75,Hedge Result 2,$0.00,None,2026-03-31 04:41:58
76,Hedge Result 2,$0.00,None,2026-03-31 04:41:58
77,Hedge Result 2,$0.00,None,2026-03-31 04:41:58
80,Hedge Day 1,$0.00,None,2026-04-02 04:34:24
81,Hedge Day 9,$0.00,None,2026-03-30 06:26:59
82,Hedge Day 9,$0.00,None,2026-03-30 06:26:59
90,Hedge Day 30,$2.11,None,2026-04-01 04:23:33
94,Hedge Day 17,$0.00,None,2026-03-27 02:31:25
95,Hedge Result 1.1,$634.80,None,2026-04-02 05:48:41
95,Hedge Result 3,$26.40,None,2026-04-02 05:48:41
105,Hedge Result 1.1,$632.04,None,2026-04-01 04:51:20
106,Hedge Result 1.1,$630.25,None,2026-04-01 04:51:20
106,Hedge Result 3,$477.67,None,2026-04-02 05:48:41
107,Hedge Result 1.1,$634.80,None,2026-04-01 04:51:20
118,Hedge Day 15,$0.00,None,2026-03-27 02:31:25
119,Hedge Day 15,$0.00,None,2026-03-27 02:31:25
124,Hedge Day 8,$0.00,None,2026-04-02 05:51:19
125,Hedge Day 7,$-156.24,None,2026-04-01 06:49:49
125,Hedge Day 8,$0.00,None,2026-04-02 05:51:19
135,Hedge Day 23,$0.00,None,2026-04-01 02:47:38
135,Hedge Day 24,$0.00,None,2026-04-02 04:38:19
136,Hedge Day 23,$0.00,None,2026-04-01 02:47:38
136,Hedge Day 24,$0.00,None,2026-04-02 04:38:19
138,Hedge Result 1,$-195.04,None,2026-04-02 07:39:59
142,Hedge Day 20,$0.00,None,2026-04-02 07:40:38
148,Hedge Day 19,$0.00,None,2026-04-02 07:40:38
166,Hedge Result 2,$0.00,None,2026-04-02 08:57:41
167,Hedge Day 6,$0.00,None,2026-03-27 02:31:25
168,Hedge Day 6,$0.00,None,2026-03-27 02:31:25
169,Hedge Day 5,$0.00,None,2026-03-27 02:31:25
185,Hedge Result 3.1,$245.70,None,2026-03-30 06:02:55
187,Hedge Day 9,$0.00,None,2026-03-26 02:32:34
188,Hedge Day 23,$0.00,None,2026-03-31 04:47:25
189,Hedge Day 23,$0.00,None,2026-03-31 04:47:25
