Eval Index,Column,Log Value,DB Value (was empty),Log Timestamp
3,Hedge Day 2,$0.00,None,2026-04-01 01:15:38
5,Hedge Day 6,$0.00,None,2026-04-01 02:30:56
8,Hedge Result 3,$-272.80,None,2026-03-26 08:14:38
14,Hedge Day 5,$0.00,None,2026-03-26 08:45:21
19,Hedge Result 3,$-271.04,None,2026-03-26 08:14:38
20,Hedge Result 3,$-271.66,None,2026-03-26 08:14:38
21,Hedge Result 3,$-271.92,None,2026-03-26 08:14:38
23,Hedge Result 2,$-368.76,None,2026-03-26 08:14:38
25,Hedge Result 2,$-355.32,None,2026-03-26 08:14:38
26,Hedge Result 2,$-358.68,None,2026-03-26 08:14:38
37,Hedge Result 2,$0.00,None,2026-03-26 08:45:21
42,Hedge Day 6,$0.00,None,2026-04-01 02:30:56
45,Hedge Day 6,$0.00,None,2026-04-01 02:30:56
46,Hedge Result 3,$405.68,None,2026-03-27 08:04:43
47,Hedge Day 24,$-178.56,None,2026-03-25 21:45:11
47,Hedge Result 3,$393.36,None,2026-03-27 08:04:43
48,Hedge Result 3,$404.80,None,2026-03-27 08:04:43
49,Hedge Result 2,$257.60,None,2026-04-01 01:15:38
49,Hedge Result 3,$405.68,None,2026-03-27 08:04:43
50,Hedge Result 3,$405.68,None,2026-03-27 08:04:43
54,Hedge Day 24,$-189.76,None,2026-03-25 21:45:11
56,Hedge Result 1.1,$734.40,None,2026-03-27 08:04:43
58,Hedge Result 2,$285.14,None,2026-04-01 01:15:38
59,Hedge Result 2,$285.20,None,2026-04-01 01:15:38
63,Hedge Result 2,$577.20,None,2026-04-01 01:15:38
64,Hedge Result 2,$577.20,None,2026-04-01 01:15:38
65,Hedge Result 2,$577.20,None,2026-04-01 01:15:38
71,Hedge Day 2,$0.00,None,2026-03-30 02:50:42
71,Hedge Day 3,$0.00,None,2026-03-31 03:48:52
74,Hedge Day 15,$-200.16,None,2026-03-27 08:36:08
75,Hedge Day 16,$-198.72,None,2026-03-27 08:36:08
77,Hedge Day 17,$-176.80,None,2026-03-27 08:36:08
77,Hedge Result 2,$361.20,None,2026-03-31 03:48:52
78,Hedge Result 2,$0.00,None,2026-03-31 03:48:52
79,Hedge Result 2,$-375.48,None,2026-03-31 03:48:52
89,Hedge Day 27,$-187.33,None,2026-03-31 12:10:35
90,Hedge Day 29,$-177.60,None,2026-03-31 12:10:35
90,Hedge Day 6,$0.00,None,2026-04-01 02:30:56
91,Hedge Day 6,$0.00,None,2026-04-01 02:30:56
91,Hedge Result 2,$-147.84,None,2026-04-01 01:17:23
91,Hedge Result 3,$-230.65,None,2026-04-01 05:09:17
92,Hedge Result 2,$-147.28,None,2026-04-01 01:17:23
92,Hedge Result 3,$-229.68,None,2026-04-01 05:09:17
93,Hedge Result 2,$386.40,None,2026-04-02 01:17:00
93,Hedge Result 3,$-255.90,None,2026-04-01 05:09:17
94,Hedge Day 16,$-160.20,None,2026-03-26 09:30:27
94,Hedge Day 17,$-157.68,None,2026-03-27 08:20:30
99,Hedge Day 22,$-362.62,None,2026-04-02 01:03:54
100,Hedge Result 1.1,$0.00,None,2026-03-27 08:20:30
101,Hedge Result 1.1,$0.00,None,2026-03-27 08:20:30
104,Hedge Day 15,$0.00,None,2026-03-27 08:36:08
115,Hedge Day 10,$528.66,None,2026-03-31 01:37:05
115,Hedge Day 8,$529.56,None,2026-03-27 08:36:27
118,Hedge Day 14,$-156.60,None,2026-03-26 09:30:27
118,Hedge Day 15,$-155.23,None,2026-03-27 08:20:30
119,Hedge Day 14,$-155.27,None,2026-03-26 09:30:27
119,Hedge Day 15,$-160.85,None,2026-03-27 08:20:30
124,Hedge Day 7,$0.00,None,2026-04-01 01:42:38
124,Hedge Result 2.1,$-1128.82,None,2026-03-30 02:15:28
125,Hedge Day 7,$0.00,None,2026-04-01 01:42:38
125,Hedge Result 3,$0.00,None,2026-04-01 01:16:39
126,Hedge Day 8,$0.00,None,2026-03-31 02:00:26
126,Hedge Result 3,$0.00,None,2026-04-01 01:16:39
132,Hedge Result 2,$0.00,None,2026-04-01 01:16:39
133,Hedge Result 2,$0.00,None,2026-04-01 01:16:39
133,Hedge Result 3,$0.00,None,2026-03-31 05:16:46
134,Hedge Result 3,$0.00,None,2026-03-31 05:16:46
135,Hedge Result 3,$0.00,None,2026-03-31 05:16:46
136,Hedge Result 3,$404.80,None,2026-03-31 05:16:46
137,Hedge Result 3,$0.00,None,2026-03-31 05:16:46
143,Hedge Result 1.1,$685.50,None,2026-04-02 01:03:32
147,Hedge Result 2,$0.00,None,2026-03-31 05:16:46
148,Hedge Result 2,$0.00,None,2026-03-31 05:16:46
163,Hedge Day 16,$-176.48,None,2026-03-31 12:08:46
164,Hedge Day 16,$-182.08,None,2026-03-31 12:08:46
165,Hedge Day 16,$-189.28,None,2026-03-31 12:08:46
166,Hedge Day 16,$-180.48,None,2026-03-31 12:08:46
167,Hedge Day 16,$-177.44,None,2026-03-31 12:08:46
167,Hedge Day 5,$-198.00,None,2026-03-26 09:30:27
167,Hedge Day 6,$-197.32,None,2026-03-27 08:20:30
167,Hedge Result 3.1,$-1372.50,None,2026-03-26 08:49:42
168,Hedge Day 5,$-205.92,None,2026-03-26 09:30:27
168,Hedge Day 6,$-199.33,None,2026-03-27 08:20:30
169,Hedge Day 5,$-199.94,None,2026-03-27 08:20:30
172,Hedge Day 18,$-138.88,None,2026-03-31 12:08:46
172,Hedge Result 1.1,$0.00,None,2026-03-31 02:00:26
172,Hedge Result 2,$-145.99,None,2026-03-30 02:15:28
173,Hedge Day 18,$-142.88,None,2026-03-31 12:08:46
174,Hedge Day 18,$-152.48,None,2026-03-31 12:08:46
176,Hedge Result 1.1,$0.00,None,2026-03-31 02:00:26
177,Hedge Result 1.1,$0.00,None,2026-03-31 02:00:26
178,Hedge Result 1.1,$0.00,None,2026-03-31 02:00:26
179,Hedge Result 3,$-254.32,None,2026-03-31 02:00:26
180,Hedge Result 3,$0.00,None,2026-03-31 02:00:26
181,Hedge Result 3,$0.00,None,2026-03-31 02:00:26
182,Hedge Result 3,$0.00,None,2026-03-31 02:00:26
185,Hedge Result 3.1,$245.70,None,2026-03-30 06:23:44
187,Hedge Result 1.1,$0.00,None,2026-03-31 02:00:26
188,Hedge Day 20,$0.00,None,2026-03-26 08:14:51
188,Hedge Day 21,$464.00,None,2026-03-27 08:36:08
188,Hedge Day 22,$-184.64,None,2026-03-30 02:14:50
189,Hedge Day 20,$0.00,None,2026-03-26 08:14:51
189,Hedge Day 21,$464.00,None,2026-03-27 08:36:08
189,Hedge Day 22,$-176.00,None,2026-03-30 02:14:50
190,Hedge Result 2,$0.00,None,2026-03-31 02:00:26
191,Hedge Day 10,$-176.54,None,2026-03-27 08:18:02
191,Hedge Day 20,$0.00,None,2026-03-26 08:14:51
191,Hedge Day 21,$466.53,None,2026-03-27 08:36:08
191,Hedge Day 22,$-176.48,None,2026-03-30 02:14:50
193,Hedge Day 1,$-137.28,None,2026-03-31 12:08:46
194,Hedge Day 10,$-170.64,None,2026-03-26 09:30:27
195,Hedge Day 11,$-164.88,None,2026-03-26 09:30:27
197,Hedge Day 13,$0.00,None,2026-03-27 08:36:08
199,Hedge Result 3,$414.48,None,2026-03-27 08:36:27
200,Hedge Result 3,$407.88,None,2026-03-27 08:36:27
201,Hedge Result 1.1,$1744.16,None,2026-03-27 08:36:27
201,Hedge Result 2,$-143.42,None,2026-03-25 21:45:11
202,Hedge Result 2,$-155.12,None,2026-03-25 21:45:11
203,Hedge Result 2.1,$0.00,None,2026-04-01 06:33:02
203,Hedge Result 3.1,$0.00,None,2026-03-27 08:21:33
204,Hedge Result 3,$405.68,None,2026-03-27 08:36:27
205,Hedge Day 14,$0.00,None,2026-04-02 01:17:43
