Eval Index,Column,Log Value,DB Value (was empty),Log Timestamp
42,Hedge Day 2,$525.60,None,2026-03-31 05:01:10
43,Hedge Day 2,$525.60,None,2026-03-31 05:01:10
44,Hedge Day 2,$520.20,None,2026-03-31 05:01:10
57,Hedge Day 2,$-155.16,None,2026-03-31 05:01:10
58,Hedge Day 2,$-165.96,None,2026-03-31 05:01:10
58,Hedge Day 8,$523.30,None,2026-04-01 07:01:29
60,Hedge Day 2,$-157.72,None,2026-03-31 05:01:10
61,Hedge Day 2,$-160.92,None,2026-03-31 05:01:10
61,Hedge Day 8,$524.16,None,2026-04-01 07:01:29
76,Hedge Result 3,$0.00,None,2026-04-01 03:17:56
77,Hedge Result 3,$0.00,None,2026-04-01 03:17:56
78,Hedge Result 3,$0.00,None,2026-04-01 03:17:56
79,Hedge Result 3,$0.00,None,2026-04-01 03:17:56
80,Hedge Result 3,$0.00,None,2026-04-01 03:17:56
81,Hedge Result 3,$0.00,None,2026-04-01 03:17:56
83,Hedge Day 4,$0.00,None,2026-03-27 12:48:01
83,Hedge Result 1.1,$0.00,None,2026-04-01 03:17:56
84,Hedge Day 4,$0.00,None,2026-03-27 12:48:01
84,Hedge Result 1.1,$0.00,None,2026-04-01 03:17:56
88,Hedge Result 3.1,$0.00,None,2026-04-01 03:17:13
89,Hedge Day 26,$0.00,None,2026-03-30 06:23:18
89,Hedge Day 3,$0.00,None,2026-03-27 12:48:01
90,Hedge Day 28,$0.00,None,2026-03-30 06:23:18
90,Hedge Day 3,$0.00,None,2026-03-27 12:48:01
90,Hedge Day 30,$2.11,None,2026-04-01 03:17:13
91,Hedge Day 3,$0.00,None,2026-03-27 12:48:01
92,Hedge Day 3,$0.00,None,2026-03-27 12:48:01
93,Hedge Day 3,$0.00,None,2026-03-27 12:48:01
94,Hedge Day 16,$0.00,None,2026-03-26 02:47:22
118,Hedge Day 14,$0.00,None,2026-03-26 02:47:22
119,Hedge Day 14,$0.00,None,2026-03-26 02:47:22
120,Hedge Result 1,$0.00,None,2026-04-01 07:01:29
121,Hedge Result 1,$0.00,None,2026-04-01 07:01:29
122,Hedge Result 1,$0.00,None,2026-04-01 07:01:29
123,Hedge Result 1,$0.00,None,2026-04-01 07:01:29
124,Hedge Result 1,$0.00,None,2026-04-01 07:01:29
139,Hedge Result 2,$0.00,None,2026-03-27 12:48:01
142,Hedge Day 20,$0.00,None,2026-04-02 04:52:32
148,Hedge Day 19,$0.00,None,2026-04-02 04:52:32
168,Hedge Result 1.1,$0.00,None,2026-03-26 02:30:20
180,Hedge Result 2,$0.00,None,2026-03-30 06:20:13
187,Hedge Day 11,$0.00,None,2026-03-31 05:00:09
197,Hedge Day 15,$0.00,None,2026-03-31 04:59:25
201,Hedge Result 2.1,$0.00,None,2026-04-02 04:52:32
202,Hedge Result 2.1,$0.00,None,2026-04-02 04:52:32
203,Hedge Day 10,$-21.49,None,2026-04-02 04:52:32
203,Hedge Day 9,$0.00,None,2026-03-31 05:49:26
213,Hedge Day 6,$0.00,None,2026-03-31 05:00:09
214,Hedge Day 6,$0.00,None,2026-03-31 05:00:09
215,Hedge Day 6,$0.00,None,2026-03-31 05:00:09
223,Hedge Day 17,$0.00,None,2026-03-30 06:23:18
224,Hedge Day 17,$0.00,None,2026-03-30 06:23:18
228,Hedge Day 3,$0.00,None,2026-03-27 02:00:47
243,Hedge Result 1.1,$0.00,None,2026-03-31 05:00:09
243,Hedge Result 2,$244.55,None,2026-03-27 13:34:36
246,Hedge Result 3,$393.36,None,2026-03-31 05:00:09
247,Hedge Day 3,$0.00,None,2026-03-31 05:47:58
247,Hedge Result 2,$0.00,None,2026-03-31 05:49:26
247,Hedge Result 3,$400.40,None,2026-03-31 05:00:09
248,Hedge Day 3,$0.00,None,2026-03-31 05:47:58
248,Hedge Result 2,$0.00,None,2026-03-31 05:49:26
248,Hedge Result 3,$404.80,None,2026-03-31 05:00:09
249,Hedge Result 3,$406.56,None,2026-03-31 05:00:09
250,Hedge Result 3,$0.00,None,2026-03-31 05:00:09
251,Hedge Result 2,$0.00,None,2026-03-31 05:49:26
251,Hedge Result 3,$0.00,None,2026-03-31 05:00:09
252,Hedge Result 2,$0.00,None,2026-03-31 05:49:26
252,Hedge Result 3,$0.00,None,2026-03-31 05:03:41
252,Hedge Result 4.1,$897.60,None,2026-03-27 13:35:03
253,Hedge Result 2,$-255.81,None,2026-03-31 05:49:26
253,Hedge Result 4.1,$894.88,None,2026-03-27 13:35:03
254,Hedge Day 14,$-137.92,None,2026-03-26 03:40:34
254,Hedge Result 2,$-136.36,None,2026-03-31 05:49:26
254,Hedge Result 4.1,$894.88,None,2026-03-27 13:35:03
255,Hedge Day 14,$-138.24,None,2026-03-26 03:40:34
255,Hedge Result 1,$-98.03,None,2026-03-31 05:49:26
255,Hedge Result 3,$418.26,None,2026-04-02 04:52:32
255,Hedge Result 4.1,$-1117.65,None,2026-04-01 07:00:06
256,Hedge Day 14,$-139.52,None,2026-03-26 03:40:34
257,Hedge Day 13,$-279.17,None,2026-03-26 03:40:34
257,Hedge Day 14,$0.00,None,2026-04-02 04:58:35
257,Hedge Result 2,$0.00,None,2026-03-31 05:47:58
