Eval Index,Column,Log Value,DB Value (was empty),Log Timestamp
0,Hedge Result 1.1,$-2414.40,None,2026-03-31 03:51:21
1,Hedge Result 1.1,$-2380.80,None,2026-03-31 03:51:21
2,Hedge Day 3,$-138.56,None,2026-04-02 08:46:02
3,Hedge Day 3,$-139.52,None,2026-04-02 08:46:02
5,Hedge Day 3,$0.00,None,2026-03-27 04:49:43
22,Hedge Result 2.1,$1226.00,None,2026-04-02 08:37:30
24,Hedge Day 6,$0.00,None,2026-03-27 13:23:19
25,Hedge Day 6,$0.00,None,2026-03-27 13:23:19
26,Hedge Day 6,$0.00,None,2026-03-27 13:23:19
33,Hedge Result 3,$-232.32,None,2026-03-31 03:51:21
36,Hedge Day 1,$-149.54,None,2026-03-27 13:23:19
37,Hedge Result 1,$0.00,None,2026-03-27 10:38:51
42,Hedge Day 3,$0.00,None,2026-03-27 04:49:43
44,Hedge Result 1,$0.00,None,2026-03-27 04:25:48
45,Hedge Day 3,$0.00,None,2026-03-27 04:49:43
45,Hedge Result 1,$0.00,None,2026-03-27 04:25:48
46,Hedge Result 1,$0.00,None,2026-03-27 04:25:48
46,Hedge Result 3,$405.68,None,2026-03-27 08:03:40
47,Hedge Result 1.1,$0.00,None,2026-03-27 13:23:19
47,Hedge Result 3,$393.36,None,2026-03-27 08:03:40
48,Hedge Result 3,$404.80,None,2026-03-27 08:03:40
49,Hedge Result 3,$405.68,None,2026-03-27 08:03:40
50,Hedge Result 3,$405.68,None,2026-03-27 08:03:40
51,Hedge Result 2,$255.70,None,2026-03-27 08:03:40
52,Hedge Result 2,$256.70,None,2026-03-27 08:03:40
53,Hedge Result 2,$0.00,None,2026-03-31 03:51:21
55,Hedge Day 8,$0.00,None,2026-03-27 10:51:03
56,Hedge Day 7,$0.00,None,2026-03-27 10:51:03
56,Hedge Result 1.1,$0.00,None,2026-03-27 08:03:40
66,Hedge Result 2.1,$0.00,None,2026-03-27 04:39:25
67,Hedge Result 2.1,$1002.64,None,2026-03-27 09:11:55
68,Hedge Result 2.1,$986.04,None,2026-03-27 09:11:55
69,Hedge Result 1,$207.92,None,2026-03-27 08:03:40
69,Hedge Result 2.1,$1008.45,None,2026-03-27 09:11:55
70,Hedge Result 1,$211.60,None,2026-03-27 08:03:40
71,Hedge Day 1,$0.00,None,2026-03-27 04:39:25
74,Hedge Result 2,$386.40,None,2026-04-02 08:46:02
75,Hedge Result 2,$0.00,None,2026-03-27 04:39:25
76,Hedge Result 2,$384.22,None,2026-03-27 04:39:25
80,Hedge Day 7,$465.92,None,2026-03-26 21:57:03
81,Hedge Day 7,$482.56,None,2026-03-26 21:57:03
82,Hedge Day 7,$480.32,None,2026-03-26 21:57:03
83,Hedge Day 5,$464.32,None,2026-03-26 21:57:03
90,Hedge Day 3,$0.00,None,2026-03-27 04:49:43
91,Hedge Day 3,$0.00,None,2026-03-27 04:49:43
91,Hedge Result 1.1,$79.35,None,2026-03-27 09:11:55
91,Hedge Result 2,$254.24,None,2026-04-02 08:46:02
92,Hedge Day 14,$-176.64,None,2026-04-02 08:37:30
94,Hedge Result 3,$398.64,None,2026-03-27 09:11:55
95,Hedge Result 1.1,$643.02,None,2026-03-27 13:22:53
95,Hedge Result 3,$0.00,None,2026-03-27 09:11:55
96,Hedge Result 3,$0.00,None,2026-03-27 09:11:55
97,Hedge Result 1.1,$631.35,None,2026-03-27 13:22:53
98,Hedge Result 1.1,$-1937.52,None,2026-03-26 21:56:47
100,Hedge Day 1,$-155.88,None,2026-03-27 13:22:53
100,Hedge Day 3,$-160.13,None,2026-03-31 15:30:53
100,Hedge Day 4,$526.46,None,2026-04-01 16:46:07
100,Hedge Result 1.1,$-3904.02,None,2026-03-26 21:56:47
100,Hedge Result 3,$0.00,None,2026-03-27 04:49:43
101,Hedge Day 1,$-155.12,None,2026-03-27 13:22:53
101,Hedge Day 3,$-164.27,None,2026-03-31 15:30:53
101,Hedge Day 4,$525.60,None,2026-04-01 16:46:07
101,Hedge Result 1.1,$625.97,None,2026-03-26 21:56:47
101,Hedge Result 3,$0.00,None,2026-03-27 04:49:43
102,Hedge Day 1,$-160.92,None,2026-03-27 13:22:53
102,Hedge Day 3,$-157.68,None,2026-03-31 15:30:53
102,Hedge Day 4,$525.60,None,2026-04-01 16:46:07
103,Hedge Result 1.1,$651.00,None,2026-03-27 13:22:53
103,Hedge Result 3,$0.00,None,2026-03-27 04:49:43
104,Hedge Result 1.1,$620.20,None,2026-03-27 13:22:53
104,Hedge Result 3,$-269.28,None,2026-03-26 21:56:47
105,Hedge Result 1.1,$627.20,None,2026-03-27 13:22:53
105,Hedge Result 3,$-264.88,None,2026-03-26 21:56:47
108,Hedge Result 2,$0.00,None,2026-03-27 04:49:43
109,Hedge Result 2,$0.00,None,2026-03-27 04:49:43
110,Hedge Result 2,$0.00,None,2026-03-27 04:49:43
111,Hedge Result 2,$0.00,None,2026-03-27 04:49:43
113,Hedge Result 2,$0.00,None,2026-03-27 04:49:43
115,Hedge Result 1.1,$0.00,None,2026-03-27 04:38:55
116,Hedge Result 1.1,$0.00,None,2026-03-27 04:38:55
117,Hedge Result 1.1,$0.00,None,2026-03-27 04:38:55
118,Hedge Result 1.1,$0.00,None,2026-03-27 04:38:55
119,Hedge Result 3,$-9.68,None,2026-03-26 21:56:47
120,Hedge Result 1.1,$736.00,None,2026-03-31 15:30:53
