Eval Index,Column,Log Value,DB Value (was empty),Log Timestamp
0,Hedge Result 2.1,$1206.20,None,2026-03-26 13:55:08
2,Hedge Result 2.1,$1222.20,None,2026-03-26 13:55:08
3,Hedge Result 2.1,$1221.20,None,2026-03-26 13:55:08
5,Hedge Day 5,$468.35,None,2026-03-25 14:00:35
5,Hedge Day 6,$0.00,None,2026-04-01 01:41:47
14,Hedge Day 5,$-172.96,None,2026-03-26 13:55:08
16,Hedge Day 4,$465.76,None,2026-03-25 14:00:35
17,Hedge Day 4,$0.00,None,2026-03-25 14:00:35
24,Hedge Day 13,$0.00,None,2026-03-31 05:06:18
33,Hedge Day 4,$0.00,None,2026-03-26 13:55:08
33,Hedge Result 1.1,$0.00,None,2026-03-31 04:23:25
33,Hedge Result 3,$0.00,None,2026-03-31 05:13:59
34,Hedge Day 4,$0.00,None,2026-03-26 13:55:08
34,Hedge Result 3,$0.00,None,2026-03-31 05:13:59
35,Hedge Day 4,$0.00,None,2026-03-26 13:55:08
35,Hedge Result 3,$0.00,None,2026-03-31 05:13:59
36,Hedge Result 2,$0.00,None,2026-03-27 10:32:38
36,Hedge Result 3,$0.00,None,2026-03-31 05:13:59
37,Hedge Result 2,$257.32,None,2026-03-26 13:55:08
37,Hedge Result 3,$403.92,None,2026-03-31 05:13:59
38,Hedge Result 2,$260.12,None,2026-03-26 13:55:08
38,Hedge Result 3,$0.00,None,2026-03-31 05:13:59
39,Hedge Result 2,$265.72,None,2026-03-26 13:55:08
39,Hedge Result 3,$0.00,None,2026-03-31 05:13:59
40,Hedge Result 3,$0.00,None,2026-03-31 05:13:59
41,Hedge Result 3,$0.00,None,2026-03-31 05:13:59
42,Hedge Day 6,$0.00,None,2026-04-01 01:41:47
45,Hedge Day 6,$0.00,None,2026-04-01 01:41:47
47,Hedge Result 1.1,$0.00,None,2026-03-31 05:13:59
48,Hedge Result 1.1,$736.00,None,2026-03-31 05:13:59
49,Hedge Result 1.1,$735.36,None,2026-03-31 05:13:59
49,Hedge Result 2,$0.00,None,2026-03-31 04:23:25
50,Hedge Result 1.1,$734.40,None,2026-03-31 05:13:59
50,Hedge Result 2,$0.00,None,2026-03-31 04:23:25
51,Hedge Result 1.1,$0.00,None,2026-03-31 05:13:59
51,Hedge Result 2,$0.00,None,2026-03-31 04:23:25
52,Hedge Result 2,$0.00,None,2026-03-31 04:23:25
55,Hedge Day 7,$0.00,None,2026-03-26 09:03:50
55,Hedge Day 8,$0.00,None,2026-03-27 10:42:20
56,Hedge Day 6,$0.00,None,2026-03-26 09:03:50
57,Hedge Day 7,$-19.91,None,2026-03-26 09:03:50
58,Hedge Result 1.1,$0.00,None,2026-04-01 04:24:08
58,Hedge Result 2,$285.14,None,2026-04-01 04:24:30
59,Hedge Result 2,$285.20,None,2026-04-01 04:24:30
63,Hedge Result 1.1,$0.00,None,2026-04-01 04:24:08
64,Hedge Result 2.1,$644.30,None,2026-04-01 04:30:45
65,Hedge Result 2,$0.00,None,2026-03-31 04:23:25
65,Hedge Result 2.1,$637.50,None,2026-04-01 04:30:45
66,Hedge Result 2.1,$646.00,None,2026-04-01 04:30:45
67,Hedge Result 2.1,$646.00,None,2026-04-01 04:30:45
71,Hedge Result 1.1,$0.00,None,2026-04-01 05:06:54
72,Hedge Result 1.1,$0.00,None,2026-04-01 04:24:08
73,Hedge Result 1.1,$0.00,None,2026-04-01 04:24:08
74,Hedge Result 3,$-235.05,None,2026-04-01 04:24:08
75,Hedge Result 3,$-232.76,None,2026-04-01 04:24:08
76,Hedge Result 3,$-232.06,None,2026-04-01 04:24:08
77,Hedge Day 18,$0.00,,2026-03-30 02:46:29
77,Hedge Result 3,$0.00,None,2026-04-01 04:24:08
78,Hedge Result 3,$0.00,None,2026-04-01 04:24:08
79,Hedge Result 3,$0.00,None,2026-04-01 04:24:08
80,Hedge Result 3,$-312.83,None,2026-04-01 04:24:08
81,Hedge Result 3,$-314.08,None,2026-04-01 04:24:08
83,Hedge Day 4,$0.00,None,2026-03-27 12:50:19
83,Hedge Result 1.1,$0.00,None,2026-04-01 04:24:08
84,Hedge Day 4,$0.00,None,2026-03-27 12:50:19
84,Hedge Result 1.1,$0.00,None,2026-04-01 04:24:08
89,Hedge Day 24,$0.00,,2026-03-26 08:58:20
89,Hedge Day 3,$0.00,None,2026-03-27 12:50:19
89,Hedge Day 5,$0.00,None,2026-03-26 09:03:50
90,Hedge Day 26,$0.00,,2026-03-26 08:58:20
90,Hedge Day 3,$0.00,None,2026-03-26 09:03:50
90,Hedge Day 6,$0.00,None,2026-04-01 01:41:47
91,Hedge Day 3,$0.00,None,2026-03-26 09:03:50
91,Hedge Day 6,$0.00,None,2026-04-01 01:41:47
92,Hedge Day 3,$0.00,None,2026-03-26 09:03:50
93,Hedge Day 3,$0.00,None,2026-03-26 09:03:50
93,Hedge Result 3,$0.00,None,2026-04-01 04:50:10
94,Hedge Day 3,$0.00,None,2026-03-26 09:03:50
94,Hedge Result 3,$0.00,None,2026-04-01 04:50:10
95,Hedge Result 3,$0.00,None,2026-04-01 04:50:10
99,Hedge Day 22,$-176.70,,2026-04-01 23:56:08
104,Hedge Day 16,$0.00,,2026-03-30 02:46:29
108,Hedge Result 2,$279.43,None,2026-04-01 04:50:10
109,Hedge Result 2,$283.96,None,2026-04-01 04:50:10
110,Hedge Result 2,$285.20,None,2026-04-01 04:50:10
